t,N,F,d,C,a,dadN,G_max,Delta_sqrt(G),R,Cyclic_Energy,Monotonic_Energy,Total_Energy,dU_cyc/dN,dU_tot/dN
[s],[cycles],[N],[mm],[mm/N],[mm],[mm/cycle],[N/mm],[N/mm],[-],[mJ],[mJ],[mJ],[mJ],[mJ]
4.22E+01,9.95E+01,1.17E+02,7.54E-01,3.94E-03,5.64E+01,3.56E-02,1.53E+00,8.80E-01,2.00E-01,6.47E+02,2.69E+01,6.74E+02,0.99608343,0.994153009
4.23E+01,100,5.85E+02,2.60E+00,3.94E-03,5.64E+01,3.54E-02,1.53E+00,8.80E-01,2.00E-01,6.47E+02,2.69E+01,6.74E+02,0.990417674,0.988529945
6.22E+01,199,1.11E+02,7.53E-01,4.29E-03,5.89E+01,1.84E-02,1.35E+00,7.74E-01,2.05E-01,6.03E+02,2.65E+01,6.29E+02,0.452609412,0.453740649
6.23E+01,200,5.42E+02,2.60E+00,4.29E-03,5.89E+01,1.83E-02,1.35E+00,7.74E-01,2.05E-01,6.03E+02,2.65E+01,6.29E+02,0.450034954,0.451174231
8.21E+01,299,5.17E+02,2.60E+00,4.49E-03,6.04E+01,1.25E-02,1.26E+00,7.22E-01,2.04E-01,5.75E+02,2.49E+01,5.99E+02,0.284776776,0.286233402
8.22E+01,3.00E+02,1.05E+02,7.52E-01,4.49E-03,6.04E+01,1.24E-02,1.26E+00,7.22E-01,2.04E-01,5.75E+02,2.49E+01,5.99E+02,0.28423581,0.285692724
1.02E+02,399,1.03E+02,7.53E-01,4.70E-03,6.15E+01,9.46E-03,1.19E+00,6.75E-01,2.08E-01,5.53E+02,2.50E+01,5.78E+02,0.205074295,0.206504206
1.02E+02,4.00E+02,4.96E+02,2.60E+00,4.70E-03,6.15E+01,9.45E-03,1.19E+00,6.75E-01,2.08E-01,5.53E+02,2.50E+01,5.78E+02,0.204782237,0.206211764
1.22E+02,499,1.01E+02,7.52E-01,4.84E-03,6.23E+01,7.64E-03,1.14E+00,6.48E-01,2.09E-01,5.38E+02,2.45E+01,5.63E+02,0.158993716,0.160331646
1.22E+02,500,4.82E+02,2.60E+00,4.84E-03,6.23E+01,7.63E-03,1.14E+00,6.48E-01,2.09E-01,5.38E+02,2.45E+01,5.63E+02,0.158631897,0.159968832
1.42E+02,6.00E+02,9.77E+01,7.53E-01,4.96E-03,6.30E+01,6.42E-03,1.10E+00,6.24E-01,2.08E-01,5.24E+02,2.37E+01,5.47E+02,0.129031066,0.130269752
1.42E+02,600,4.70E+02,2.60E+00,4.96E-03,6.30E+01,6.41E-03,1.10E+00,6.24E-01,2.08E-01,5.24E+02,2.37E+01,5.47E+02,0.128908709,0.130146914
1.62E+02,699,9.69E+01,7.52E-01,5.09E-03,6.36E+01,5.54E-03,1.06E+00,6.02E-01,2.11E-01,5.13E+02,2.39E+01,5.37E+02,0.108343623,0.109491261
1.62E+02,700,4.60E+02,2.60E+00,5.09E-03,6.36E+01,5.54E-03,1.06E+00,6.02E-01,2.11E-01,5.13E+02,2.39E+01,5.37E+02,0.108167505,0.109314277
1.82E+02,799,4.52E+02,2.60E+00,5.18E-03,6.42E+01,4.88E-03,1.04E+00,5.90E-01,2.09E-01,5.05E+02,2.30E+01,5.28E+02,0.093050808,0.094116961
1.82E+02,8.00E+02,9.44E+01,7.51E-01,5.18E-03,6.42E+01,4.88E-03,1.04E+00,5.90E-01,2.09E-01,5.05E+02,2.30E+01,5.28E+02,0.092984587,0.094050358
2.02E+02,899,9.40E+01,7.52E-01,5.30E-03,6.46E+01,4.36E-03,1.01E+00,5.70E-01,2.12E-01,4.96E+02,2.34E+01,5.19E+02,0.081365417,0.082359815
2.02E+02,900,4.43E+02,2.60E+00,5.30E-03,6.46E+01,4.36E-03,1.01E+00,5.70E-01,2.12E-01,4.96E+02,2.34E+01,5.19E+02,0.081262542,0.082256269
2.22E+02,999,4.37E+02,2.60E+00,5.37E-03,6.50E+01,3.94E-03,9.89E-01,5.59E-01,2.12E-01,4.89E+02,2.31E+01,5.12E+02,0.072162714,0.073093965
2.22E+02,999,9.28E+01,7.53E-01,5.37E-03,6.50E+01,3.94E-03,9.89E-01,5.59E-01,2.12E-01,4.89E+02,2.31E+01,5.12E+02,0.072162714,0.073093965
2.69E+02,1.10E+03,9.08E+01,7.51E-01,5.47E-03,6.54E+01,3.60E-03,9.65E-01,5.47E-01,2.12E-01,4.80E+02,2.26E+01,5.03E+02,0.064705054,0.065580286
2.69E+02,1.10E+03,4.29E+02,2.60E+00,5.47E-03,6.54E+01,3.60E-03,9.65E-01,5.47E-01,2.12E-01,4.80E+02,2.26E+01,5.03E+02,0.064705054,0.065580286
2.89E+02,1199,9.12E+01,7.50E-01,5.55E-03,6.58E+01,3.31E-03,9.49E-01,5.35E-01,2.15E-01,4.76E+02,2.31E+01,4.99E+02,0.058630305,0.059456322
2.89E+02,1.20E+03,4.24E+02,2.60E+00,5.55E-03,6.58E+01,3.31E-03,9.49E-01,5.35E-01,2.15E-01,4.76E+02,2.31E+01,4.99E+02,0.058602493,0.059428278
3.09E+02,1.30E+03,8.81E+01,7.50E-01,5.57E-03,6.61E+01,3.07E-03,9.37E-01,5.33E-01,2.10E-01,4.70E+02,2.16E+01,4.92E+02,0.053498422,0.054280093
3.09E+02,1300,4.20E+02,2.60E+00,5.57E-03,6.61E+01,3.07E-03,9.37E-01,5.33E-01,2.10E-01,4.70E+02,2.16E+01,4.92E+02,0.053475007,0.05425647
3.29E+02,1.40E+03,8.83E+01,7.49E-01,5.66E-03,6.64E+01,2.86E-03,9.22E-01,5.22E-01,2.13E-01,4.66E+02,2.21E+01,4.88E+02,0.049170114,0.049912221
3.29E+02,1400,4.16E+02,2.60E+00,5.66E-03,6.64E+01,2.86E-03,9.22E-01,5.22E-01,2.13E-01,4.66E+02,2.21E+01,4.88E+02,0.049150131,0.049892049
3.49E+02,1.50E+03,8.73E+01,7.49E-01,5.71E-03,6.66E+01,2.68E-03,9.08E-01,5.14E-01,2.12E-01,4.61E+02,2.17E+01,4.83E+02,0.045456009,0.046162445
3.49E+02,1500,4.11E+02,2.60E+00,5.71E-03,6.66E+01,2.68E-03,9.08E-01,5.14E-01,2.12E-01,4.61E+02,2.17E+01,4.83E+02,0.045438766,0.046145033
3.69E+02,1.60E+03,8.58E+01,7.50E-01,5.76E-03,6.69E+01,2.52E-03,8.94E-01,5.07E-01,2.11E-01,4.55E+02,2.12E+01,4.76E+02,0.042236149,0.042910271
3.69E+02,1.60E+03,4.06E+02,2.60E+00,5.76E-03,6.69E+01,2.52E-03,8.94E-01,5.07E-01,2.11E-01,4.55E+02,2.12E+01,4.76E+02,0.042236149,0.042910271
3.89E+02,1699,4.04E+02,2.60E+00,5.81E-03,6.71E+01,2.38E-03,8.85E-01,5.01E-01,2.13E-01,4.53E+02,2.15E+01,4.74E+02,0.039432864,0.04007772
3.89E+02,1.70E+03,8.60E+01,7.51E-01,5.81E-03,6.72E+01,2.38E-03,8.85E-01,5.01E-01,2.13E-01,4.53E+02,2.15E+01,4.74E+02,0.039419662,0.040064377
4.09E+02,1.80E+03,8.56E+01,7.49E-01,5.90E-03,6.74E+01,2.25E-03,8.71E-01,4.92E-01,2.14E-01,4.48E+02,2.16E+01,4.70E+02,0.036936486,0.037554328
4.09E+02,1.80E+03,3.99E+02,2.60E+00,5.90E-03,6.74E+01,2.25E-03,8.71E-01,4.92E-01,2.14E-01,4.48E+02,2.16E+01,4.70E+02,0.036936486,0.037554328
4.29E+02,1.90E+03,8.40E+01,7.50E-01,5.91E-03,6.76E+01,2.14E-03,8.64E-01,4.89E-01,2.12E-01,4.44E+02,2.09E+01,4.65E+02,0.034731766,0.035324954
4.29E+02,1900,3.97E+02,2.60E+00,5.91E-03,6.76E+01,2.14E-03,8.64E-01,4.89E-01,2.12E-01,4.44E+02,2.09E+01,4.65E+02,0.034721364,0.035314434
4.49E+02,2.00E+03,8.34E+01,7.50E-01,5.98E-03,6.78E+01,2.03E-03,8.53E-01,4.83E-01,2.12E-01,4.40E+02,2.08E+01,4.61E+02,0.032761956,0.033332444
4.49E+02,2.00E+03,3.93E+02,2.60E+00,5.98E-03,6.78E+01,2.03E-03,8.53E-01,4.83E-01,2.12E-01,4.40E+02,2.08E+01,4.61E+02,0.032761956,0.033332444
4.96E+02,2099,8.40E+01,7.52E-01,6.07E-03,6.80E+01,1.94E-03,8.41E-01,4.73E-01,2.16E-01,4.37E+02,2.14E+01,4.58E+02,0.031000466,0.031550086
4.97E+02,2.10E+03,3.88E+02,2.60E+00,6.07E-03,6.80E+01,1.94E-03,8.41E-01,4.73E-01,2.16E-01,4.37E+02,2.14E+01,4.58E+02,0.030992065,0.031541584
5.16E+02,2199,8.35E+01,7.51E-01,6.09E-03,6.82E+01,1.86E-03,8.35E-01,4.70E-01,2.16E-01,4.34E+02,2.12E+01,4.56E+02,0.029401269,0.02993145
5.17E+02,2200,3.87E+02,2.60E+00,6.09E-03,6.82E+01,1.86E-03,8.35E-01,4.70E-01,2.16E-01,4.34E+02,2.12E+01,4.56E+02,0.029386061,0.029916055
5.36E+02,2299,8.39E+01,7.51E-01,6.16E-03,6.84E+01,1.78E-03,8.26E-01,4.63E-01,2.19E-01,4.32E+02,2.17E+01,4.54E+02,0.027950336,0.028462453
5.37E+02,2.30E+03,3.84E+02,2.60E+00,6.16E-03,6.84E+01,1.78E-03,8.26E-01,4.63E-01,2.19E-01,4.32E+02,2.17E+01,4.54E+02,0.02794342,0.02845545
5.56E+02,2399,8.35E+01,7.51E-01,6.20E-03,6.86E+01,1.71E-03,8.18E-01,4.58E-01,2.19E-01,4.29E+02,2.16E+01,4.51E+02,0.026628332,0.027123617
5.57E+02,2.40E+03,3.81E+02,2.60E+00,6.20E-03,6.86E+01,1.71E-03,8.18E-01,4.58E-01,2.19E-01,4.29E+02,2.16E+01,4.51E+02,0.026622017,0.027117221
5.76E+02,2499,8.21E+01,7.51E-01,6.24E-03,6.87E+01,1.64E-03,8.09E-01,4.55E-01,2.17E-01,4.25E+02,2.10E+01,4.46E+02,0.025419112,0.025898674
5.77E+02,2.50E+03,3.78E+02,2.60E+00,6.24E-03,6.87E+01,1.64E-03,8.09E-01,4.55E-01,2.17E-01,4.25E+02,2.10E+01,4.46E+02,0.025413326,0.025892812
5.96E+02,2599,8.28E+01,7.50E-01,6.29E-03,6.89E+01,1.58E-03,8.05E-01,4.51E-01,2.20E-01,4.25E+02,2.16E+01,4.46E+02,0.024309098,0.024773938
5.97E+02,2.60E+03,3.77E+02,2.60E+00,6.29E-03,6.89E+01,1.58E-03,8.05E-01,4.51E-01,2.20E-01,4.25E+02,2.16E+01,4.46E+02,0.024303777,0.024768546
6.16E+02,2699,8.13E+01,7.50E-01,6.32E-03,6.90E+01,1.53E-03,7.96E-01,4.47E-01,2.18E-01,4.20E+02,2.09E+01,4.41E+02,0.023286783,0.02373781
6.17E+02,2.70E+03,3.73E+02,2.60E+00,6.32E-03,6.90E+01,1.53E-03,7.96E-01,4.47E-01,2.18E-01,4.20E+02,2.09E+01,4.41E+02,0.023281875,0.023732835
6.36E+02,2799,8.07E+01,7.50E-01,6.32E-03,6.92E+01,1.48E-03,7.94E-01,4.47E-01,2.16E-01,4.20E+02,2.06E+01,4.40E+02,0.022342362,0.0227804
6.37E+02,2800,3.73E+02,2.60E+00,6.32E-03,6.92E+01,1.48E-03,7.94E-01,4.47E-01,2.16E-01,4.20E+02,2.06E+01,4.40E+02,0.022333282,0.022771194
6.56E+02,2899,8.04E+01,7.50E-01,6.35E-03,6.93E+01,1.43E-03,7.88E-01,4.43E-01,2.17E-01,4.17E+02,2.06E+01,4.38E+02,0.021467423,0.021893225
6.57E+02,2900,3.71E+02,2.60E+00,6.35E-03,6.93E+01,1.43E-03,7.88E-01,4.43E-01,2.17E-01,4.17E+02,2.06E+01,4.38E+02,0.021458999,0.021884683
6.76E+02,3.00E+03,7.93E+01,7.50E-01,6.42E-03,6.95E+01,1.38E-03,7.78E-01,4.38E-01,2.16E-01,4.13E+02,2.02E+01,4.33E+02,0.020650795,0.021064994
6.77E+02,3.00E+03,3.67E+02,2.60E+00,6.42E-03,6.95E+01,1.38E-03,7.78E-01,4.38E-01,2.16E-01,4.13E+02,2.02E+01,4.33E+02,0.020650795,0.021064994
7.24E+02,3099,7.99E+01,7.49E-01,6.48E-03,6.96E+01,1.34E-03,7.73E-01,4.34E-01,2.19E-01,4.12E+02,2.07E+01,4.33E+02,0.019897945,0.020301283
7.24E+02,3.10E+03,3.66E+02,2.60E+00,6.48E-03,6.96E+01,1.34E-03,7.73E-01,4.34E-01,2.19E-01,4.12E+02,2.07E+01,4.33E+02,0.019894292,0.020297578
7.44E+02,3199,7.98E+01,7.50E-01,6.51E-03,6.97E+01,1.30E-03,7.68E-01,4.30E-01,2.19E-01,4.10E+02,2.07E+01,4.31E+02,0.019191644,0.019584646
7.44E+02,3.20E+03,3.64E+02,2.60E+00,6.51E-03,6.97E+01,1.30E-03,7.68E-01,4.30E-01,2.19E-01,4.10E+02,2.07E+01,4.31E+02,0.019188231,0.019581182
7.64E+02,3299,7.95E+01,7.51E-01,6.51E-03,6.99E+01,1.26E-03,7.65E-01,4.29E-01,2.19E-01,4.09E+02,2.06E+01,4.30E+02,0.018531019,0.018914218
7.64E+02,3300,3.63E+02,2.60E+00,6.51E-03,6.99E+01,1.26E-03,7.65E-01,4.29E-01,2.19E-01,4.09E+02,2.06E+01,4.30E+02,0.018524629,0.018907733
7.84E+02,3399,8.04E+01,7.49E-01,6.60E-03,7.00E+01,1.23E-03,7.58E-01,4.23E-01,2.23E-01,4.08E+02,2.13E+01,4.29E+02,0.017911863,0.018285753
7.84E+02,3.40E+03,3.61E+02,2.60E+00,6.60E-03,7.00E+01,1.23E-03,7.58E-01,4.23E-01,2.23E-01,4.08E+02,2.13E+01,4.29E+02,0.017908865,0.01828271
8.04E+02,3499,7.91E+01,7.50E-01,6.58E-03,7.01E+01,1.19E-03,7.56E-01,4.24E-01,2.20E-01,4.06E+02,2.06E+01,4.27E+02,0.017330463,0.017695501
8.04E+02,3500,3.60E+02,2.60E+00,6.58E-03,7.01E+01,1.19E-03,7.56E-01,4.24E-01,2.20E-01,4.06E+02,2.06E+01,4.27E+02,0.017324829,0.01768978
8.24E+02,3599,7.88E+01,7.49E-01,6.63E-03,7.02E+01,1.16E-03,7.49E-01,4.19E-01,2.20E-01,4.04E+02,2.06E+01,4.24E+02,0.016783535,0.017140143
8.24E+02,3.60E+03,3.58E+02,2.60E+00,6.63E-03,7.02E+01,1.16E-03,7.49E-01,4.19E-01,2.20E-01,4.04E+02,2.06E+01,4.24E+02,0.016780882,0.017137449
8.44E+02,3.70E+03,7.74E+01,7.49E-01,6.66E-03,7.03E+01,1.13E-03,7.43E-01,4.17E-01,2.18E-01,4.00E+02,2.00E+01,4.20E+02,0.016265657,0.01661419
8.44E+02,3.70E+03,3.55E+02,2.60E+00,6.66E-03,7.03E+01,1.13E-03,7.43E-01,4.17E-01,2.18E-01,4.00E+02,2.00E+01,4.20E+02,0.016265657,0.01661419
8.64E+02,3799,7.83E+01,7.48E-01,6.70E-03,7.05E+01,1.10E-03,7.41E-01,4.15E-01,2.21E-01,4.01E+02,2.05E+01,4.21E+02,0.015781734,0.016122636
8.64E+02,3.80E+03,3.55E+02,2.60E+00,6.70E-03,7.05E+01,1.10E-03,7.41E-01,4.15E-01,2.21E-01,4.01E+02,2.05E+01,4.21E+02,0.015779371,0.016120235
8.84E+02,3899,7.79E+01,7.49E-01,6.68E-03,7.06E+01,1.08E-03,7.41E-01,4.16E-01,2.19E-01,4.01E+02,2.02E+01,4.21E+02,0.015321934,0.015655507
8.84E+02,3900,3.55E+02,2.60E+00,6.68E-03,7.06E+01,1.08E-03,7.41E-01,4.16E-01,2.19E-01,4.01E+02,2.02E+01,4.21E+02,0.015317464,0.015650965
9.04E+02,4.00E+03,7.68E+01,7.50E-01,6.70E-03,7.07E+01,1.05E-03,7.35E-01,4.13E-01,2.18E-01,3.97E+02,1.97E+01,4.17E+02,0.014884556,0.015211084
9.04E+02,4000,3.53E+02,2.60E+00,6.70E-03,7.07E+01,1.05E-03,7.35E-01,4.13E-01,2.18E-01,3.97E+02,1.97E+01,4.17E+02,0.014882439,0.015208933
9.51E+02,4.10E+03,7.73E+01,7.53E-01,6.77E-03,7.08E+01,1.03E-03,7.28E-01,4.06E-01,2.21E-01,3.95E+02,2.03E+01,4.15E+02,0.014472069,0.014791886
9.51E+02,4.10E+03,3.50E+02,2.60E+00,6.77E-03,7.08E+01,1.03E-03,7.28E-01,4.06E-01,2.21E-01,3.95E+02,2.03E+01,4.15E+02,0.014472069,0.014791886
9.71E+02,4.20E+03,7.71E+01,7.52E-01,6.80E-03,7.09E+01,1.00E-03,7.24E-01,4.04E-01,2.21E-01,3.93E+02,2.02E+01,4.13E+02,0.014080547,0.014393932
9.71E+02,4.20E+03,3.49E+02,2.60E+00,6.80E-03,7.09E+01,1.00E-03,7.24E-01,4.04E-01,2.21E-01,3.93E+02,2.02E+01,4.13E+02,0.014080547,0.014393932
9.91E+02,4.30E+03,7.61E+01,7.52E-01,6.78E-03,7.10E+01,9.80E-04,7.23E-01,4.05E-01,2.18E-01,3.92E+02,1.96E+01,4.12E+02,0.013708463,0.014015677
9.91E+02,4.30E+03,3.49E+02,2.60E+00,6.78E-03,7.10E+01,9.80E-04,7.23E-01,4.05E-01,2.18E-01,3.92E+02,1.96E+01,4.12E+02,0.013708463,0.014015677
1.01E+03,4.40E+03,7.67E+01,7.52E-01,6.82E-03,7.11E+01,9.59E-04,7.20E-01,4.02E-01,2.21E-01,3.92E+02,2.01E+01,4.12E+02,0.013354431,0.013655721
1.01E+03,4.40E+03,3.47E+02,2.60E+00,6.82E-03,7.11E+01,9.59E-04,7.20E-01,4.02E-01,2.21E-01,3.92E+02,2.01E+01,4.12E+02,0.013354431,0.013655721
1.03E+03,4.50E+03,7.66E+01,7.53E-01,6.87E-03,7.12E+01,9.38E-04,7.15E-01,3.98E-01,2.22E-01,3.90E+02,2.02E+01,4.10E+02,0.013017196,0.013312792
1.03E+03,4.50E+03,3.45E+02,2.60E+00,6.87E-03,7.12E+01,9.38E-04,7.15E-01,3.98E-01,2.22E-01,3.90E+02,2.02E+01,4.10E+02,0.013017196,0.013312792
1.05E+03,4.60E+03,7.63E+01,7.52E-01,6.87E-03,7.13E+01,9.19E-04,7.13E-01,3.98E-01,2.21E-01,3.89E+02,2.00E+01,4.09E+02,0.012695613,0.012985734
1.05E+03,4.60E+03,3.45E+02,2.60E+00,6.87E-03,7.13E+01,9.19E-04,7.13E-01,3.98E-01,2.21E-01,3.89E+02,2.00E+01,4.09E+02,0.012695613,0.012985734
1.07E+03,4699,7.71E+01,7.53E-01,6.94E-03,7.14E+01,9.00E-04,7.07E-01,3.92E-01,2.25E-01,3.88E+02,2.06E+01,4.08E+02,0.012390139,0.012675015
1.07E+03,4.70E+03,3.43E+02,2.60E+00,6.94E-03,7.14E+01,9.00E-04,7.07E-01,3.92E-01,2.25E-01,3.88E+02,2.06E+01,4.08E+02,0.012388639,0.012673489
1.09E+03,4.80E+03,7.61E+01,7.52E-01,6.93E-03,7.14E+01,8.82E-04,7.06E-01,3.94E-01,2.22E-01,3.87E+02,2.00E+01,4.07E+02,0.012095319,0.012375092
1.09E+03,4.80E+03,3.43E+02,2.60E+00,6.93E-03,7.14E+01,8.82E-04,7.06E-01,3.94E-01,2.22E-01,3.87E+02,2.00E+01,4.07E+02,0.012095319,0.012375092
1.11E+03,4899,7.68E+01,7.53E-01,6.97E-03,7.15E+01,8.65E-04,7.03E-01,3.90E-01,2.25E-01,3.86E+02,2.06E+01,4.07E+02,0.011816153,0.012091057
1.11E+03,4.90E+03,3.42E+02,2.60E+00,6.97E-03,7.15E+01,8.65E-04,7.03E-01,3.90E-01,2.25E-01,3.86E+02,2.06E+01,4.07E+02,0.011814781,0.01208966
1.13E+03,4999,3.42E+02,2.60E+00,6.95E-03,7.16E+01,8.49E-04,7.03E-01,3.91E-01,2.23E-01,3.86E+02,2.03E+01,4.06E+02,0.011547537,0.011817719
1.13E+03,4999,7.64E+01,7.54E-01,6.95E-03,7.16E+01,8.49E-04,7.03E-01,3.91E-01,2.23E-01,3.86E+02,2.03E+01,4.06E+02,0.011547537,0.011817719
1.18E+03,5.10E+03,7.46E+01,7.51E-01,7.03E-03,7.17E+01,8.33E-04,6.93E-01,3.87E-01,2.21E-01,3.81E+02,1.95E+01,4.00E+02,0.011288909,0.011554512
1.18E+03,5.10E+03,3.38E+02,2.60E+00,7.03E-03,7.17E+01,8.33E-04,6.93E-01,3.87E-01,2.21E-01,3.81E+02,1.95E+01,4.00E+02,0.011288909,0.011554512
1.20E+03,5199,7.52E+01,7.49E-01,7.02E-03,7.18E+01,8.18E-04,6.94E-01,3.87E-01,2.22E-01,3.83E+02,1.98E+01,4.02E+02,0.01104337,0.011304594
1.20E+03,5200,3.39E+02,2.60E+00,7.02E-03,7.18E+01,8.18E-04,6.94E-01,3.87E-01,2.22E-01,3.83E+02,1.98E+01,4.02E+02,0.011040953,0.011302134
1.22E+03,5299,7.50E+01,7.49E-01,7.04E-03,7.19E+01,8.03E-04,6.91E-01,3.86E-01,2.22E-01,3.81E+02,1.98E+01,4.01E+02,0.010806516,0.011063486
1.22E+03,5300,3.38E+02,2.60E+00,7.04E-03,7.19E+01,8.03E-04,6.91E-01,3.86E-01,2.22E-01,3.81E+02,1.98E+01,4.01E+02,0.010804196,0.011061124
1.24E+03,5.40E+03,7.39E+01,7.50E-01,7.04E-03,7.19E+01,7.89E-04,6.89E-01,3.86E-01,2.20E-01,3.79E+02,1.92E+01,3.99E+02,0.010577914,0.010830751
1.24E+03,5400,3.37E+02,2.60E+00,7.04E-03,7.19E+01,7.89E-04,6.89E-01,3.86E-01,2.20E-01,3.79E+02,1.92E+01,3.99E+02,0.0105768,0.010829616
1.26E+03,5.50E+03,7.38E+01,7.50E-01,7.08E-03,7.20E+01,7.75E-04,6.84E-01,3.83E-01,2.20E-01,3.78E+02,1.93E+01,3.97E+02,0.010359304,0.010608161
1.26E+03,5.50E+03,3.35E+02,2.60E+00,7.08E-03,7.20E+01,7.75E-04,6.84E-01,3.83E-01,2.20E-01,3.78E+02,1.93E+01,3.97E+02,0.010359304,0.010608161
1.28E+03,5.60E+03,7.35E+01,7.49E-01,7.09E-03,7.21E+01,7.62E-04,6.82E-01,3.81E-01,2.20E-01,3.77E+02,1.92E+01,3.96E+02,0.01014903,0.010394034
1.28E+03,5.60E+03,3.34E+02,2.60E+00,7.09E-03,7.21E+01,7.62E-04,6.82E-01,3.81E-01,2.20E-01,3.77E+02,1.92E+01,3.96E+02,0.01014903,0.010394034
1.30E+03,5.70E+03,7.35E+01,7.49E-01,7.12E-03,7.22E+01,7.49E-04,6.80E-01,3.80E-01,2.21E-01,3.76E+02,1.92E+01,3.95E+02,0.009946634,0.010187907
1.30E+03,5.70E+03,3.33E+02,2.60E+00,7.12E-03,7.22E+01,7.49E-04,6.80E-01,3.80E-01,2.21E-01,3.76E+02,1.92E+01,3.95E+02,0.009946634,0.010187907
1.32E+03,5.80E+03,7.32E+01,7.50E-01,7.11E-03,7.22E+01,7.37E-04,6.78E-01,3.80E-01,2.20E-01,3.75E+02,1.90E+01,3.94E+02,0.009751691,0.009989347
1.32E+03,5800,3.33E+02,2.60E+00,7.11E-03,7.22E+01,7.37E-04,6.78E-01,3.80E-01,2.20E-01,3.75E+02,1.90E+01,3.94E+02,0.009750734,0.009988372
1.34E+03,5899,7.50E+01,7.50E-01,7.22E-03,7.23E+01,7.25E-04,6.74E-01,3.74E-01,2.26E-01,3.76E+02,2.03E+01,3.96E+02,0.009564727,0.009798893
1.34E+03,5.90E+03,3.31E+02,2.60E+00,7.22E-03,7.23E+01,7.25E-04,6.74E-01,3.74E-01,2.26E-01,3.76E+02,2.03E+01,3.96E+02,0.009563804,0.009797953
1.36E+03,6.00E+03,7.29E+01,7.49E-01,7.18E-03,7.24E+01,7.13E-04,6.71E-01,3.76E-01,2.21E-01,3.73E+02,1.91E+01,3.92E+02,0.009382605,0.009613352
1.36E+03,6.00E+03,3.30E+02,2.60E+00,7.18E-03,7.24E+01,7.13E-04,6.71E-01,3.76E-01,2.21E-01,3.73E+02,1.91E+01,3.92E+02,0.009382605,0.009613352
1.40E+03,6.10E+03,7.30E+01,7.51E-01,7.20E-03,7.25E+01,7.02E-04,6.70E-01,3.74E-01,2.21E-01,3.72E+02,1.92E+01,3.91E+02,0.00920775,0.009435195
1.41E+03,6.10E+03,3.30E+02,2.60E+00,7.20E-03,7.25E+01,7.02E-04,6.70E-01,3.74E-01,2.21E-01,3.72E+02,1.92E+01,3.91E+02,0.00920775,0.009435195
1.42E+03,6199,7.37E+01,7.49E-01,7.27E-03,7.25E+01,6.91E-04,6.66E-01,3.70E-01,2.25E-01,3.71E+02,1.98E+01,3.91E+02,0.009039749,0.009264003
1.43E+03,6.20E+03,3.28E+02,2.60E+00,7.27E-03,7.25E+01,6.91E-04,6.66E-01,3.70E-01,2.25E-01,3.71E+02,1.98E+01,3.91E+02,0.009038919,0.009263157
1.44E+03,6.30E+03,7.28E+01,7.50E-01,7.23E-03,7.26E+01,6.81E-04,6.65E-01,3.71E-01,2.22E-01,3.70E+02,1.91E+01,3.90E+02,0.008875811,0.009096935
1.45E+03,6.30E+03,3.28E+02,2.60E+00,7.23E-03,7.26E+01,6.81E-04,6.65E-01,3.71E-01,2.22E-01,3.70E+02,1.91E+01,3.90E+02,0.008875811,0.009096935
1.46E+03,6399,7.36E+01,7.50E-01,7.26E-03,7.27E+01,6.71E-04,6.64E-01,3.69E-01,2.24E-01,3.71E+02,1.96E+01,3.91E+02,0.008718922,0.008937033
1.47E+03,6400,3.28E+02,2.60E+00,7.26E-03,7.27E+01,6.71E-04,6.64E-01,3.69E-01,2.24E-01,3.71E+02,1.96E+01,3.91E+02,0.008717372,0.008935453
1.48E+03,6.50E+03,7.26E+01,7.51E-01,7.25E-03,7.27E+01,6.61E-04,6.62E-01,3.69E-01,2.22E-01,3.69E+02,1.91E+01,3.89E+02,0.008565663,0.008780816
1.49E+03,6500,3.27E+02,2.60E+00,7.25E-03,7.27E+01,6.61E-04,6.62E-01,3.69E-01,2.22E-01,3.69E+02,1.91E+01,3.89E+02,0.008564914,0.008780052
1.50E+03,6599,7.33E+01,7.49E-01,7.35E-03,7.28E+01,6.51E-04,6.56E-01,3.64E-01,2.26E-01,3.68E+02,1.98E+01,3.88E+02,0.00841884,0.008631144
1.51E+03,6.60E+03,3.25E+02,2.60E+00,7.35E-03,7.28E+01,6.51E-04,6.56E-01,3.64E-01,2.26E-01,3.68E+02,1.98E+01,3.88E+02,0.008418114,0.008630404
1.52E+03,6699,7.34E+01,7.51E-01,7.32E-03,7.29E+01,6.42E-04,6.58E-01,3.65E-01,2.25E-01,3.69E+02,1.97E+01,3.89E+02,0.008275972,0.00848549
1.53E+03,6700,3.26E+02,2.60E+00,7.32E-03,7.29E+01,6.42E-04,6.58E-01,3.65E-01,2.25E-01,3.69E+02,1.97E+01,3.89E+02,0.008274567,0.008484057
1.54E+03,6.80E+03,7.21E+01,7.50E-01,7.33E-03,7.29E+01,6.33E-04,6.54E-01,3.65E-01,2.22E-01,3.66E+02,1.91E+01,3.85E+02,0.008136911,0.008343704
1.55E+03,6.80E+03,3.24E+02,2.60E+00,7.33E-03,7.29E+01,6.33E-04,6.54E-01,3.65E-01,2.22E-01,3.66E+02,1.91E+01,3.85E+02,0.008136911,0.008343704
1.56E+03,6899,7.29E+01,7.49E-01,7.35E-03,7.30E+01,6.24E-04,6.54E-01,3.63E-01,2.25E-01,3.67E+02,1.95E+01,3.87E+02,0.008003496,0.008207661
